GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paymybuddy,com.paymybuddy.app.model,Transaction,34,37,0,0,12,12,6,7,6,7
paymybuddy,com.paymybuddy.app.model,Contact,10,48,0,0,3,17,3,8,3,8
paymybuddy,com.paymybuddy.app.model,User,28,62,0,0,11,25,3,13,3,13
paymybuddy,com.paymybuddy.app,PaymybuddyApplication,5,5,0,0,2,2,1,2,1,2
paymybuddy,com.paymybuddy.app.controller,ContactController,0,49,0,0,0,7,0,6,0,6
paymybuddy,com.paymybuddy.app.controller,TransactionController,0,39,0,0,0,5,0,5,0,5
paymybuddy,com.paymybuddy.app.controller,UserController,0,31,0,0,0,4,0,4,0,4
paymybuddy,com.paymybuddy.app.service,ContactService,0,45,0,0,0,10,0,6,0,6
paymybuddy,com.paymybuddy.app.service,TransactionService,0,24,0,0,0,5,0,5,0,5
paymybuddy,com.paymybuddy.app.service,WebSecurityConfig,0,143,0,0,0,17,0,2,0,2
paymybuddy,com.paymybuddy.app.service,UserService,0,47,0,0,0,10,0,4,0,4
